TICKER,DATE,DIRECTION,EARNINGS_D1,ADV_MULT,n_bars,entry,ret_close,mfe_pct,mae_pct,mfe_atr,mae_atr,open_gap_atr,test_atr,reached_d1,beyond_d1_atr,t_mfe,mfe_bucket,win
XYL,2025-08-01,BULLISH,1,3.6372,385,143.69,-1.1343865265502129,0.13918853086504882,2.1574222284083753,0.10275380189066412,1.5926839293053814,-0.4778051787916188,1.258734073160701,False,0.0,0,Open (0-30m),False
CRML,2026-04-28,BULLISH,1,3.3962,390,12.92,-8.165634674922595,5.108359133126936,8.436532507739937,0.4756756756756758,0.7855855855855856,-1.1027027027027023,0.41081081081081106,False,0.0,155,Mid-day,False
NVST,2026-02-09,BULLISH,1,3.1953,387,29.13,0.8582217645039414,2.3686920700309004,1.2186749055956074,0.8152173913043493,0.4194234404536867,0.03544423440453401,0.4194234404536867,True,0.6439035916824216,185,Mid-day,True
OUT,2025-11-10,BULLISH,1,4.7707,374,20.18,-0.049554013875119374,1.4866204162537202,2.130822596630326,0.6100040666937794,0.8743391622610811,0.04066693777958433,0.8743391622610811,True,0.5896705978039836,251,Mid-day,False
SPPP,2025-10-09,BULLISH,1,4.3146,379,15.19,-4.772876892692556,0.26333113890718185,5.661619486504275,0.12674271229404602,2.7249683143219245,0.3168567807351066,0.7674271229404266,True,0.2946768060836501,0,Open (0-30m),False
DELL,2026-03-02,BULLISH,1,4.2228,390,146.755,4.636980000681423,4.746005246839974,0.5142584579741647,1.1512396694214881,0.12474380165289017,-0.21900826446281274,0.12474380165289017,True,0.8033057851239646,389,Afternoon,True
NFXL,2026-03-02,BULLISH,1,5.4888,370,30.04,4.027962716378175,6.158455392809592,0.0,1.2192710736176111,0.0,-0.5008897383510192,0.0,True,0.5799775917748625,44,Morning,True
HALO,2025-05-08,BULLISH,1,6.4396,389,69.845,-3.0424511418140177,0.0,3.8871787529529724,0.0,1.3449915783216106,-0.1461408897255532,1.3449915783216106,False,0.0,0,Open (0-30m),False
NUVB,2025-11-20,BULLISH,1,6.3126,390,7.195,-2.432244614315504,4.239054899235576,4.794996525364845,0.6636205395996513,0.7506527415143617,0.09791122715404683,0.22845953002611058,True,0.3263707571801574,5,Open (0-30m),False
COUR,2025-07-28,BULLISH,1,13.4684,390,12.65,-1.1857707509881465,7.193675889328064,3.3992094861660056,3.0092592592592595,1.421957671957671,0.9259259259259297,0.3637566137566178,True,3.5383597883597893,13,Open (0-30m),False
ATEC,2025-08-04,BULLISH,1,8.9055,388,13.98,6.3662374821173096,6.5808297567954215,1.2160228898426317,2.295982031444971,0.42425754928874454,0.5240828550037456,0.42425754928874454,True,2.520588969303718,189,Mid-day,True
MNSO,2025-08-25,BULLISH,1,7.8983,384,25.84,-0.8126934984520107,1.2577399380804926,2.8637770897832757,0.47258979206049045,1.076050603460809,-1.1487567253162705,1.076050603460809,False,0.0,135,Mid-day,False
MNMD,2025-09-30,BULLISH,1,3.4891,379,11.97,-1.5931495405179685,0.25062656641603476,6.664160401002513,0.047946300143837876,1.2748921208246775,-0.1118747003356217,0.9749081029247262,False,0.0,0,Open (0-30m),False
YSS,2026-04-10,BULLISH,0,3.1029,388,36.05,-7.57281553398057,0.0554785020804525,12.167822468793338,0.0074043908037477795,1.623968013031727,0.01480878160749293,1.3624079078893785,False,0.0,0,Open (0-30m),False
JHG,2026-02-17,BULLISH,0,3.9233,385,49.0,1.061224489795931,1.3877551020408159,0.18346938775510221,2.697342324474414,0.35660452201507375,-0.19833399444663688,0.35660452201507375,True,2.3010710035700184,380,Afternoon,True
